"No.","Time","Source","Destination","Protocol","Length","Data","Value","Opcode","UUID"
"15384","1226.147651","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","10","â\234\223","","Write Response","0xffe1"
"15385","1226.192117","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","27","â\234\223","3f010004030514b5000000789bff01","Handle Value Notification","0xffe1"
"15387","1226.417888","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","27","â\234\223","000200ff00ff3c00ff0000ff00ff14","Handle Value Notification","0xffe1"
"15485","1235.305766","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","521a45aa","Write Request","0xffe1"
"15489","1235.425097","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","10","â\234\223","","Write Response","0xffe1"
"15491","1235.461988","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","27","â\234\223","53010104030514b5000000789bff01","Handle Value Notification","0xffe1"
"15493","1235.688025","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","27","â\234\223","000200ff00ff3c00ff0000ff00ff14","Handle Value Notification","0xffe1"
"16005","1265.480802","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Group Type Request","Primary Service"
"16008","1265.611240","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","29","â\234\223","","Read By Group Type Response","GAP,GAP,GATT,GATT,0xffe0,0xffe0,Primary Service"
"16009","1265.611915","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Group Type Request","Primary Service"
"16013","1265.701685","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","14","â\234\223","","Error Response","Primary Service"
"16014","1265.703322","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Type Request","Include"
"16017","1265.792080","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","14","â\234\223","","Error Response","GAP,Include"
"16018","1265.793875","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Type Request","Characteristic"
"16021","1265.882020","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","32","â\234\223","","Read By Type Response","Characteristic,Device Name,Device Name,Characteristic,Appearance,Appearance,Characteristic,Peripheral Privacy Flag,Peripheral Privacy Flag,Characteristic"
"16022","1265.882930","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Type Request","Characteristic"
"16025","1265.941537","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","18","â\234\223","","Read By Type Response","Characteristic,Peripheral Preferred Connection Parameters,Peripheral Preferred Connection Parameters,Characteristic"
"16026","1265.942920","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Type Request","Characteristic"
"16028","1265.956797","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","14","â\234\223","","Error Response","Peripheral Preferred Connection Parameters,Characteristic"
